index, number,insert_comparisons,search_comparisons
0,0,0,1
1,1,1,3
2,2,2,3
3,3,2,5
4,4,3,5
5,5,3,5
6,6,3,5
7,7,3,7
8,8,4,7
9,9,4,7
10,10,4,7
11,11,4,7
12,12,4,7
13,13,4,7
14,14,4,7
15,15,4,9
16,16,5,9
17,17,5,9
18,18,5,9
19,19,5,9
20,20,5,9
21,21,5,9
22,22,5,9
23,23,5,9
24,24,5,9
25,25,5,9
26,26,5,9
27,27,5,9
28,28,5,9
29,29,5,9
30,30,5,9
31,31,5,11
32,32,6,11
33,33,6,11
34,34,6,11
35,35,6,11
36,36,6,11
37,37,6,11
38,38,6,11
39,39,6,11
40,40,6,11
41,41,6,11
42,42,6,11
43,43,6,11
44,44,6,11
45,45,6,11
46,46,6,11
47,47,6,11
48,48,6,11
49,49,6,11
50,50,6,11
51,51,6,11
52,52,6,11
53,53,6,11
54,54,6,11
55,55,6,11
56,56,6,11
57,57,6,11
58,58,6,11
59,59,6,11
60,60,6,11
61,61,6,11
62,62,6,11
63,63,6,13
64,64,7,13
65,65,7,13
66,66,7,13
67,67,7,13
68,68,7,13
69,69,7,13
70,70,7,13
71,71,7,13
72,72,7,13
73,73,7,13
74,74,7,13
75,75,7,13
76,76,7,13
77,77,7,13
78,78,7,13
79,79,7,13
80,80,7,13
81,81,7,13
82,82,7,13
83,83,7,13
84,84,7,13
85,85,7,13
86,86,7,13
87,87,7,13
88,88,7,13
89,89,7,13
90,90,7,13
91,91,7,13
92,92,7,13
93,93,7,13
94,94,7,13
95,95,7,13
96,96,7,13
97,97,7,13
98,98,7,13
99,99,7,13
100,100,7,13
101,101,7,13
102,102,7,13
103,103,7,13
104,104,7,13
105,105,7,13
106,106,7,13
107,107,7,13
108,108,7,13
109,109,7,13
110,110,7,13
111,111,7,13
112,112,7,13
113,113,7,13
114,114,7,13
115,115,7,13
116,116,7,13
117,117,7,13
118,118,7,13
119,119,7,13
120,120,7,13
121,121,7,13
122,122,7,13
123,123,7,13
124,124,7,13
125,125,7,13
126,126,7,13
127,127,7,15
128,128,8,15
129,129,8,15
130,130,8,15
131,131,8,15
132,132,8,15
133,133,8,15
134,134,8,15
135,135,8,15
136,136,8,15
137,137,8,15
138,138,8,15
139,139,8,15
140,140,8,15
141,141,8,15
142,142,8,15
143,143,8,15
144,144,8,15
145,145,8,15
146,146,8,15
147,147,8,15
148,148,8,15
149,149,8,15
150,150,8,15
151,151,8,15
152,152,8,15
153,153,8,15
154,154,8,15
155,155,8,15
156,156,8,15
157,157,8,15
158,158,8,15
159,159,8,15
160,160,8,15
161,161,8,15
162,162,8,15
163,163,8,15
164,164,8,15
165,165,8,15
166,166,8,15
167,167,8,15
168,168,8,15
169,169,8,15
170,170,8,15
171,171,8,15
172,172,8,15
173,173,8,15
174,174,8,15
175,175,8,15
176,176,8,15
177,177,8,15
178,178,8,15
179,179,8,15
180,180,8,15
181,181,8,15
182,182,8,15
183,183,8,15
184,184,8,15
185,185,8,15
186,186,8,15
187,187,8,15
188,188,8,15
189,189,8,15
190,190,8,15
191,191,8,15
192,192,8,15
193,193,8,15
194,194,8,15
195,195,8,15
196,196,8,15
197,197,8,15
198,198,8,15
199,199,8,15
200,200,8,15
201,201,8,15
202,202,8,15
203,203,8,15
204,204,8,15
205,205,8,15
206,206,8,15
207,207,8,15
208,208,8,15
209,209,8,15
210,210,8,15
211,211,8,15
212,212,8,15
213,213,8,15
214,214,8,15
215,215,8,15
216,216,8,15
217,217,8,15
218,218,8,15
219,219,8,15
220,220,8,15
221,221,8,15
222,222,8,15
223,223,8,15
224,224,8,15
225,225,8,15
226,226,8,15
227,227,8,15
228,228,8,15
229,229,8,15
230,230,8,15
231,231,8,15
232,232,8,15
233,233,8,15
234,234,8,15
235,235,8,15
236,236,8,15
237,237,8,15
238,238,8,15
239,239,8,15
240,240,8,15
241,241,8,15
242,242,8,15
243,243,8,15
244,244,8,15
245,245,8,15
246,246,8,15
247,247,8,15
248,248,8,15
249,249,8,15
250,250,8,15
251,251,8,15
252,252,8,15
253,253,8,15
254,254,8,15
255,255,8,17
256,256,9,17
257,257,9,17
258,258,9,17
259,259,9,17
260,260,9,17
261,261,9,17
262,262,9,17
263,263,9,17
264,264,9,17
265,265,9,17
266,266,9,17
267,267,9,17
268,268,9,17
269,269,9,17
270,270,9,17
271,271,9,17
272,272,9,17
273,273,9,17
274,274,9,17
275,275,9,17
276,276,9,17
277,277,9,17
278,278,9,17
279,279,9,17
280,280,9,17
281,281,9,17
282,282,9,17
283,283,9,17
284,284,9,17
285,285,9,17
286,286,9,17
287,287,9,17
288,288,9,17
289,289,9,17
290,290,9,17
291,291,9,17
292,292,9,17
293,293,9,17
294,294,9,17
295,295,9,17
296,296,9,17
297,297,9,17
298,298,9,17
299,299,9,17
300,300,9,17
301,301,9,17
302,302,9,17
303,303,9,17
304,304,9,17
305,305,9,17
306,306,9,17
307,307,9,17
308,308,9,17
309,309,9,17
310,310,9,17
311,311,9,17
312,312,9,17
313,313,9,17
314,314,9,17
315,315,9,17
316,316,9,17
317,317,9,17
318,318,9,17
319,319,9,17
320,320,9,17
321,321,9,17
322,322,9,17
323,323,9,17
324,324,9,17
325,325,9,17
326,326,9,17
327,327,9,17
328,328,9,17
329,329,9,17
330,330,9,17
331,331,9,17
332,332,9,17
333,333,9,17
334,334,9,17
335,335,9,17
336,336,9,17
337,337,9,17
338,338,9,17
339,339,9,17
340,340,9,17
341,341,9,17
342,342,9,17
343,343,9,17
344,344,9,17
345,345,9,17
346,346,9,17
347,347,9,17
348,348,9,17
349,349,9,17
350,350,9,17
351,351,9,17
352,352,9,17
353,353,9,17
354,354,9,17
355,355,9,17
356,356,9,17
357,357,9,17
358,358,9,17
359,359,9,17
360,360,9,17
361,361,9,17
362,362,9,17
363,363,9,17
364,364,9,17
365,365,9,17
366,366,9,17
