index, number,insert_comparisons,search_comparisons
0,0,0,1
1,1,1,3
2,2,2,5
3,3,3,7
4,4,4,9
5,5,5,11
6,6,6,13
7,7,7,15
8,8,8,17
9,9,9,19
10,10,10,21
11,11,11,23
12,12,12,25
13,13,13,27
14,14,14,29
15,15,15,31
16,16,16,33
17,17,17,35
18,18,18,37
19,19,19,39
20,20,20,41
21,21,21,43
22,22,22,45
23,23,23,47
24,24,24,49
25,25,25,51
26,26,26,53
27,27,27,55
28,28,28,57
29,29,29,59
30,30,30,61
31,31,31,63
32,32,32,65
33,33,33,67
34,34,34,69
35,35,35,71
36,36,36,73
37,37,37,75
38,38,38,77
39,39,39,79
40,40,40,81
41,41,41,83
42,42,42,85
43,43,43,87
44,44,44,89
45,45,45,91
46,46,46,93
47,47,47,95
48,48,48,97
49,49,49,99
50,50,50,101
51,51,51,103
52,52,52,105
53,53,53,107
54,54,54,109
55,55,55,111
56,56,56,113
57,57,57,115
58,58,58,117
59,59,59,119
60,60,60,121
61,61,61,123
62,62,62,125
63,63,63,127
64,64,64,129
65,65,65,131
66,66,66,133
67,67,67,135
68,68,68,137
69,69,69,139
70,70,70,141
71,71,71,143
72,72,72,145
73,73,73,147
74,74,74,149
75,75,75,151
76,76,76,153
77,77,77,155
78,78,78,157
79,79,79,159
80,80,80,161
81,81,81,163
82,82,82,165
83,83,83,167
84,84,84,169
85,85,85,171
86,86,86,173
87,87,87,175
88,88,88,177
89,89,89,179
90,90,90,181
91,91,91,183
92,92,92,185
93,93,93,187
94,94,94,189
95,95,95,191
96,96,96,193
97,97,97,195
98,98,98,197
99,99,99,199
100,100,100,201
101,101,101,203
102,102,102,205
103,103,103,207
104,104,104,209
105,105,105,211
106,106,106,213
107,107,107,215
108,108,108,217
109,109,109,219
110,110,110,221
111,111,111,223
112,112,112,225
113,113,113,227
114,114,114,229
115,115,115,231
116,116,116,233
117,117,117,235
118,118,118,237
119,119,119,239
120,120,120,241
121,121,121,243
122,122,122,245
123,123,123,247
124,124,124,249
125,125,125,251
126,126,126,253
127,127,127,255
128,128,128,257
129,129,129,259
130,130,130,261
131,131,131,263
132,132,132,265
133,133,133,267
134,134,134,269
135,135,135,271
136,136,136,273
137,137,137,275
138,138,138,277
139,139,139,279
140,140,140,281
141,141,141,283
142,142,142,285
143,143,143,287
144,144,144,289
145,145,145,291
146,146,146,293
147,147,147,295
148,148,148,297
149,149,149,299
150,150,150,301
151,151,151,303
152,152,152,305
153,153,153,307
154,154,154,309
155,155,155,311
156,156,156,313
157,157,157,315
158,158,158,317
159,159,159,319
160,160,160,321
161,161,161,323
162,162,162,325
163,163,163,327
164,164,164,329
165,165,165,331
166,166,166,333
167,167,167,335
168,168,168,337
169,169,169,339
170,170,170,341
171,171,171,343
172,172,172,345
173,173,173,347
174,174,174,349
175,175,175,351
176,176,176,353
177,177,177,355
178,178,178,357
179,179,179,359
180,180,180,361
181,181,181,363
182,182,182,365
183,183,183,367
184,184,184,369
185,185,185,371
186,186,186,373
187,187,187,375
188,188,188,377
189,189,189,379
190,190,190,381
191,191,191,383
192,192,192,385
193,193,193,387
194,194,194,389
195,195,195,391
196,196,196,393
197,197,197,395
198,198,198,397
199,199,199,399
200,200,200,401
201,201,201,403
202,202,202,405
203,203,203,407
204,204,204,409
205,205,205,411
206,206,206,413
207,207,207,415
208,208,208,417
209,209,209,419
210,210,210,421
211,211,211,423
212,212,212,425
213,213,213,427
214,214,214,429
215,215,215,431
216,216,216,433
217,217,217,435
218,218,218,437
219,219,219,439
220,220,220,441
221,221,221,443
222,222,222,445
223,223,223,447
224,224,224,449
225,225,225,451
226,226,226,453
227,227,227,455
228,228,228,457
229,229,229,459
230,230,230,461
231,231,231,463
232,232,232,465
233,233,233,467
234,234,234,469
235,235,235,471
236,236,236,473
237,237,237,475
238,238,238,477
239,239,239,479
240,240,240,481
241,241,241,483
242,242,242,485
243,243,243,487
244,244,244,489
245,245,245,491
246,246,246,493
247,247,247,495
248,248,248,497
249,249,249,499
250,250,250,501
251,251,251,503
252,252,252,505
253,253,253,507
254,254,254,509
255,255,255,511
256,256,256,513
257,257,257,515
258,258,258,517
259,259,259,519
260,260,260,521
261,261,261,523
262,262,262,525
263,263,263,527
264,264,264,529
265,265,265,531
266,266,266,533
267,267,267,535
268,268,268,537
269,269,269,539
270,270,270,541
271,271,271,543
272,272,272,545
273,273,273,547
274,274,274,549
275,275,275,551
276,276,276,553
277,277,277,555
278,278,278,557
279,279,279,559
280,280,280,561
281,281,281,563
282,282,282,565
283,283,283,567
284,284,284,569
285,285,285,571
286,286,286,573
287,287,287,575
288,288,288,577
289,289,289,579
290,290,290,581
291,291,291,583
292,292,292,585
293,293,293,587
294,294,294,589
295,295,295,591
296,296,296,593
297,297,297,595
298,298,298,597
299,299,299,599
300,300,300,601
301,301,301,603
302,302,302,605
303,303,303,607
304,304,304,609
305,305,305,611
306,306,306,613
307,307,307,615
308,308,308,617
309,309,309,619
310,310,310,621
311,311,311,623
312,312,312,625
313,313,313,627
314,314,314,629
315,315,315,631
316,316,316,633
317,317,317,635
318,318,318,637
319,319,319,639
320,320,320,641
321,321,321,643
322,322,322,645
323,323,323,647
324,324,324,649
325,325,325,651
326,326,326,653
327,327,327,655
328,328,328,657
329,329,329,659
330,330,330,661
331,331,331,663
332,332,332,665
333,333,333,667
334,334,334,669
335,335,335,671
336,336,336,673
337,337,337,675
338,338,338,677
339,339,339,679
340,340,340,681
341,341,341,683
342,342,342,685
343,343,343,687
344,344,344,689
345,345,345,691
346,346,346,693
347,347,347,695
348,348,348,697
349,349,349,699
350,350,350,701
351,351,351,703
352,352,352,705
353,353,353,707
354,354,354,709
355,355,355,711
356,356,356,713
357,357,357,715
358,358,358,717
359,359,359,719
360,360,360,721
361,361,361,723
362,362,362,725
363,363,363,727
364,364,364,729
365,365,365,731
366,366,366,733
